STRINGID,Context,English,Gibberish,French,Spanish,German,Korean,BrazillianPortuguese,SimplifedChinese,Russian,Italian,Portuguese,Hungarian,Japanese,Norwegian,Polish,Dutch,Romanian,Danish,Czech,Swedish
DEFAULT,,Gomoku Cooked Rice,,,,,,,,,,,,五目炊込みご飯,,,,,,,
DEFAULT,,Miso Soup,,,,,,,,,,,,みそ汁,,,,,,,
DEFAULT,,Rice Ball,,,,,,,,,,,,おにぎり,,,,,,,
DEFAULT,,Sashimi,,,,,,,,,,,,刺身,,,,,,,
DEFAULT,,Sashimis,,,,,,,,,,,,刺身,,,,,,,
DEFAULT,,Katsuo No Tataki,,,,,,,,,,,,かつおのたたき,,,,,,,
DEFAULT,,Katsuo No Tatakis,,,,,,,,,,,,かつおのたたき,,,,,,,
DEFAULT,,Battleship Roll Sushi Of Urchin,,,,,,,,,,,,うにの軍艦巻き,,,,,,,
DEFAULT,,Battleship Roll Sushi Of Urchins,,,,,,,,,,,,うにの軍艦巻き,,,,,,,
DEFAULT,,Nigiri Sushi,,,,,,,,,,,,握り寿司,,,,,,,
DEFAULT,,Sushi Roll,,,,,,,,,,,,巻き寿司,,,,,,,
DEFAULT,,Sushi Rolls,,,,,,,,,,,,巻き寿司,,,,,,,
DEFAULT,,Gyudon,,,,,,,,,,,,牛丼,,,,,,,
DEFAULT,,Oyakodon,,,,,,,,,,,,親子丼,,,,,,,
DEFAULT,,Unaju,,,,,,,,,,,,うな重,,,,,,,
DEFAULT,,Tonkatsu,,,,,,,,,,,,とんかつ,,,,,,,
DEFAULT,,Fried Chicken,,,,,,,,,,,,鶏の唐揚げ,,,,,,,
DEFAULT,,Udon Noodles,,,,,,,,,,,,うどん,,,,,,,
DEFAULT,,Soba Noodles,,,,,,,,,,,,そば,,,,,,,
DEFAULT,,Tempura,,,,,,,,,,,,天ぷら,,,,,,,
DEFAULT,,Buridaikon,,,,,,,,,,,,ぶり大根,,,,,,,
DEFAULT,,Grilled Fish,,,,,,,,,,,,焼き魚,,,,,,,
DEFAULT,,Grilled Trout,,,,,,,,,,,,マスの焼き魚,,,,,,,
DEFAULT,,Grilled Salmon,,,,,,,,,,,,サケの焼き魚,,,,,,,
DEFAULT,,Boiled Fish,,,,,,,,,,,,魚の煮付け,,,,,,,
DEFAULT,,Boiled Fishs,,,,,,,,,,,,魚の煮付け,,,,,,,
DEFAULT,,Boiled Trout Soy Sauce,,,,,,,,,,,,マスのしょう油の煮付け,,,,,,,
DEFAULT,,Boiled Trout Miso Sauce,,,,,,,,,,,,マスの味噌煮,,,,,,,
DEFAULT,,Dashimaki Tamago,,,,,,,,,,,,だし巻き卵,,,,,,,
DEFAULT,,Dashimaki Tamagos,,,,,,,,,,,,だし巻き卵,,,,,,,
DEFAULT,,Okonomiyaki,,,,,,,,,,,,お好み焼き,,,,,,,
DEFAULT,,Tofu,,,,,,,,,,,,豆腐,,,,,,,
DEFAULT,,Tofus,,,,,,,,,,,,豆腐,,,,,,,
DEFAULT,,Boiled Tofu,,,,,,,,,,,,湯豆腐,,,,,,,
DEFAULT,,Nori,,,,,,,,,,,,海苔,,,,,,,
DEFAULT,,Noris,,,,,,,,,,,,海苔,,,,,,,
DEFAULT,,Natto,,,,,,,,,,,,納豆,,,,,,,
DEFAULT,,Nattos,,,,,,,,,,,,納豆,,,,,,,
DEFAULT,,Egg,,,,,,,,,,,,卵,,,,,,,
DEFAULT,,Eggs,,,,,,,,,,,,卵,,,,,,,
DEFAULT,,Pickle,,,,,,,,,,,,漬物,,,,,,,
DEFAULT,,Pickles,,,,,,,,,,,,漬物,,,,,,,
DEFAULT,,Rice Wine,,,,,,,,,,,,日本酒,,,,,,,
DEFAULT,,Rice Wines,,,,,,,,,,,,日本酒,,,,,,,
DEFAULT,,Plum,,,,,,,,,,,,梅,,,,,,,
DEFAULT,,Plums,,,,,,,,,,,,梅,,,,,,,
DEFAULT,,Salted Plum,,,,,,,,,,,,梅干し,,,,,,,
DEFAULT,,Salted Plums,,,,,,,,,,,,梅干し,,,,,,,
DEFAULT,,Dengaku,,,,,,,,,,,,田楽,,,,,,,
DEFAULT,,Dengakus,,,,,,,,,,,,田楽,,,,,,,
DEFAULT,,Soy Sauce,,,,,,,,,,,,しょう油,,,,,,,
DEFAULT,,Soy Sauces,,,,,,,,,,,,しょう油,,,,,,,
DEFAULT,,Miso,,,,,,,,,,,,味噌,,,,,,,
DEFAULT,,Misos,,,,,,,,,,,,味噌,,,,,,,
DEFAULT,,Miso And Soy Sauce,,,,,,,,,,,,味噌としょう油,,,,,,,
DEFAULT,,Salt,,,,,,,,,,,,塩,,,,,,,
DEFAULT,,Salts,,,,,,,,,,,,塩,,,,,,,
DEFAULT,,Sea Salt,,,,,,,,,,,,海塩,,,,,,,
DEFAULT,,Sea Salts,,,,,,,,,,,,海塩,,,,,,,
DEFAULT,,Rock Salt,,,,,,,,,,,,岩塩,,,,,,,
DEFAULT,,Rock Salts,,,,,,,,,,,,岩塩,,,,,,,
DEFAULT,,Poutine,,,,,,,,,,,,プーティン,,,,,,,
DEFAULT,,Wiener Schnitzel,,,,,,,,,,,,ウインナー・シュニッツェル,,,,,,,
DEFAULT,,Kebab,,,,,,,,,,,,ケバブ,,,,,,,
